deck_id,avg_elixirCost,avg_card_usage,total_hitpoints,num_air,num_troop,num_spell,num_building,num_winconditions,num_cycle_cards,num_air_attackers,num_splash_cards,deck_name,deck_win_rate
202,3.5,10.03,7049.0,1.0,6.0,1.0,1.0,0.0,5.0,3.0,4.0,Deck 202,49.18
203,4.75,7.02,3395.0,0.0,2.0,5.0,1.0,1.0,2.0,5.0,6.0,Deck 203,49.14
204,3.25,7.46,5789.0,1.0,5.0,2.0,1.0,0.0,4.0,3.0,4.0,Deck 204,49.11
205,4.75,5.12,12856.0,2.0,6.0,1.0,1.0,1.0,0.0,2.0,3.0,Deck 205,49.0
206,2.88,5.83,4261.0,0.0,7.0,1.0,0.0,0.0,6.0,2.0,2.0,Deck 206,48.94
207,4.5,3.58,12241.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,Deck 207,48.87
208,3.0,7.24,5729.0,0.0,5.0,2.0,1.0,0.0,5.0,2.0,3.0,Deck 208,48.85
209,3.0,5.99,6055.0,2.0,6.0,2.0,0.0,0.0,5.0,3.0,4.0,Deck 209,48.82
210,4.25,2.62,8143.0,2.0,6.0,2.0,0.0,1.0,1.0,4.0,5.0,Deck 210,48.81
211,3.88,7.87,8117.0,2.0,6.0,2.0,0.0,1.0,3.0,4.0,4.0,Deck 211,48.78
212,3.38,12.59,5701.0,0.0,5.0,2.0,1.0,0.0,4.0,3.0,3.0,Deck 212,48.75
213,4.38,4.21,8450.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,5.0,Deck 213,48.71
214,4.0,6.11,7956.0,3.0,5.0,3.0,0.0,0.0,2.0,5.0,6.0,Deck 214,48.2
215,2.88,7.17,6457.0,0.0,5.0,2.0,1.0,0.0,5.0,3.0,4.0,Deck 215,48.14
216,2.75,8.88,6479.0,0.0,5.0,2.0,1.0,0.0,5.0,3.0,4.0,Deck 216,47.89
217,3.38,12.26,6031.0,0.0,4.0,2.0,2.0,0.0,4.0,4.0,3.0,Deck 217,47.82
218,3.5,4.39,5930.0,2.0,5.0,3.0,0.0,0.0,3.0,4.0,3.0,Deck 218,47.22
219,3.12,6.75,4944.0,0.0,5.0,2.0,1.0,0.0,5.0,3.0,4.0,Deck 219,45.64
221,3.12,5.33,4261.0,1.0,7.0,1.0,0.0,0.0,6.0,3.0,2.0,Deck 221,44.84
222,3.88,6.98,8481.0,1.0,6.0,2.0,0.0,1.0,4.0,4.0,3.0,Deck 222,43.58
223,3.38,7.97,6653.0,2.0,6.0,2.0,0.0,0.0,4.0,4.0,3.0,Deck 223,43.49
224,2.62,11.59,6056.0,0.0,5.0,2.0,1.0,0.0,6.0,3.0,4.0,Deck 224,43.44
225,4.0,4.45,10344.0,2.0,6.0,2.0,0.0,1.0,3.0,4.0,3.0,Deck 225,43.1
226,3.62,8.41,8637.0,1.0,6.0,2.0,0.0,1.0,5.0,4.0,3.0,Deck 226,42.92
228,3.88,4.52,8089.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,5.0,Deck 228,42.82
229,2.75,10.21,5225.0,0.0,5.0,2.0,1.0,0.0,6.0,2.0,3.0,Deck 229,42.76
230,3.62,5.66,6384.0,0.0,4.0,3.0,1.0,0.0,4.0,4.0,4.0,Deck 230,42.64
232,3.88,8.24,7443.0,2.0,6.0,2.0,0.0,2.0,4.0,4.0,2.0,Deck 232,42.36
233,3.5,5.62,8050.0,0.0,6.0,2.0,0.0,1.0,4.0,3.0,2.0,Deck 233,42.23
234,2.88,9.5,3028.0,0.0,7.0,1.0,0.0,0.0,7.0,3.0,2.0,Deck 234,42.02
235,3.62,3.93,8555.0,1.0,5.0,2.0,1.0,0.0,4.0,3.0,3.0,Deck 235,41.68
236,3.5,7.44,6397.0,3.0,5.0,3.0,0.0,1.0,5.0,5.0,4.0,Deck 236,41.67
237,3.5,13.61,6516.0,0.0,5.0,2.0,1.0,1.0,4.0,3.0,4.0,Deck 237,41.5
238,3.38,7.6,8461.0,1.0,5.0,3.0,0.0,1.0,4.0,4.0,4.0,Deck 238,41.42
239,3.12,16.16,3316.0,0.0,4.0,3.0,1.0,0.0,6.0,4.0,4.0,Deck 239,41.37
240,4.62,7.18,11149.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,Deck 240,41.0
241,4.12,7.23,6862.0,1.0,6.0,2.0,0.0,1.0,4.0,4.0,3.0,Deck 241,41.0
242,3.5,6.03,6658.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,Deck 242,41.0
243,3.88,8.71,7974.0,3.0,5.0,2.0,1.0,1.0,4.0,4.0,3.0,Deck 243,41.0
244,3.12,13.87,4201.0,0.0,4.0,3.0,1.0,0.0,5.0,4.0,5.0,Deck 244,41.0
